,,,,,2025/8/23,,,2025/8/22,,,2025/8/21,,,2025/8/20,,,2025/8/19,,,2025/8/18,,,2025/8/17,,,2025/8/16,,,2025/8/15,,,2025/8/14,,,2025/8/13,,,2025/8/12,,,2025/8/11,,,2025/8/10,,,2025/8/9,,,2025/8/8,,,2025/8/7,,,2025/8/6,,,2025/8/5,,,2025/8/4,,,2025/8/3,,,2025/8/2,,,2025/8/1,,,2025/7/31,,,2025/7/30,,,2025/7/29,,,2025/7/28,,,2025/7/27,,,2025/7/26,,,2025/7/25,,,2025/7/24,,,2025/7/23,,,2025/7/22,,,2025/7/21,,,2025/7/20,,,2025/7/19,,,2025/7/18,,,2025/7/17,,,2025/7/16,,,2025/7/15,,,2025/7/14,,,2025/7/13,,,2025/7/12,,,2025/7/11,,,2025/7/10,,,,,,,,,,,,,,,,
类型,指标,站点,近7天平均,,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,,,,,,,,,,,,,,
"NF
固网",关联率,A1,,,99.93%,3722398650,3725027180,99.94%,3462792648,3464983542,99.93%,3431214971,3433540297,99.94%,3716349053,3718748465,99.94%,4179499251,4182141071,99.83%,415502828,416189620,99.92%,3295216412,3297695044,99.94%,3630785868,3633059249,99.90%,3321536569,3324979325,99.93%,3179570618,3181668536,99.93%,3633130005,3635582649,99.94%,3431648849,3433645235,99.94%,3512721841,3514749206,99.94%,3557705654,3559766472,99.93%,3491514956,3493771894,99.93%,3496363859,3498803196,99.92%,3430043744,3432750058,99.92%,3430043744,3432750058,99.91%,418284308,418622375,99.92%,3409868156,3412394315,99.91%,3200411803,3203068260,99.88%,436837853,437360947,99.84%,3393493222,3398645626,99.81%,3789657929,3796579218,99.77%,3359614172,3367246795,99.91%,3170500659,3173335153,99.91%,2806305385,2808621968,99.88%,430550690,431063532,99.87%,424897897,425447979,99.87%,419898773,420426933,99.87%,418268092,418804527,99.86%,435451648,436032022,99.87%,472985794,473597418,99.90%,2862024507,2864718427,99.91%,2858940289,2861344735,95.8%,2490270804,2599304285,53.53%,1549802269,2895409693,81.49%,1933383411,2372463769,99.85%,269859780,270248537,99.92%,2397327319,2399144832,99.87%,,,99.82%,,,99.41%,,,99.83%,,,,,,,,,,,,,,,,,,,
,,B1,,,99.88%,2465455206,2468339487,99.90%,2167608810,2169860692,99.89%,2361715617,2364237937,99.90%,2355811277,2358178634,99.92%,2257100679,2258944738,99.92%,2529434133,2531346949,99.91%,2550843043,2553223458,99.92%,2236136093,2237991557,99.91%,1989076404,1990855831,99.92%,2259539094,2261275987,99.92%,2268382815,2270137107,99.90%,2173303755,2175539442,99.91%,2177177961,2179176454,99.92%,2271155590,2272984753,99.91%,2123906973,2125770405,99.91%,2170349286,2172206987,99.91%,2551522137,2553614897,99.91%,2551522137,2553614897,99.92%,548492233,548877710,99.91%,2480734235,2482919407,99.92%,2592881806,2594937677,99.81%,548101156,549096612,98.29%,2093411841,2129687450,96.76%,2186785964,2259838093,98.02%,2520683870,2571601262,94.92%,2337156089,2462220019,97.88%,2009363832,2052857766,97.73%,504777682,516454913,98.32%,507644279,516284776,98.48%,524312982,532394547,98.13%,517184170,526997640,98.20%,529448164,539138887,97.90%,532134450,543535947,97.30%,1870709030,1922617605,95.03%,1928330326,2029023324,91.35%,1894970942,2074280188,61.2%,1018252021,1662006737,73%,1069010360,1464250185,85.57%,361279654,422154722,88.05%,1470317103,1669816827,96.83%,,,98.44%,,,98.69%,,,98.66%,,,,,,,,,,,,,,,,,,,
,,C1,,,99.86%,1643173657,1645453988,99.91%,1553231545,1554669025,99.92%,1744092551,1745545684,99.92%,1663331509,1664614455,99.91%,1407794981,1409059678,99.92%,1502691584,1503952327,99.89%,1321699698,1323206096,99.88%,1353542475,1355202910,99.90%,1703276480,1705050032,99.92%,1415003905,1416122073,99.92%,1497278203,1498536646,99.92%,1548438873,1549670506,99.92%,1508466372,1509709009,99.89%,1376389340,1377842705,99.91%,1288504105,1289646634,99.92%,1665489067,1666665783,98.84%,1657542413,1676988547,98.84%,1657542413,1676988547,99.93%,303474254,303684490,99.91%,1475556216,1476806174,99.91%,1585217493,1586514582,99.88%,305480003,305816818,99.87%,1515533710,1517492063,99.91%,1378310641,1379421226,99.90%,1465111741,1466473301,99.91%,1467403264,1468698764,99.92%,1674825931,1676046063,99.89%,321618590,321959256,99.91%,317605124,317885137,99.91%,314003035,314278102,99.91%,311959722,312239865,99.89%,302887941,303204009,99.88%,308826068,309166167,99.61%,1537171653,1543102835,99.86%,2202931552,2206019411,97.64%,2100160876,2150905505,63.98%,1517730886,2372046560,97.63%,2629508008,2693142333,99.84%,461822520,462561940,99.82%,1813671715,1816879082,97.11%,,,88.18%,,,89.69%,,,94.88%,,,,,,,,,,,,,,,,,,,
,准确率,A1,,,99.96%,2069435804,2070283004,99.92%,1964839650,1966314563,99.94%,2053839612,2055040368,99.95%,2181952338,2183136384,99.92%,2298272372,2300226390,99.94%,2570235066,2571897190,99.76%,1853172246,1857585993,99.96%,2117680501,2118477949,99.95%,1901183338,1902073285,99.94%,1746096655,1747108268,99.95%,2111487853,2112482328,99.93%,1757866997,1759066555,99.94%,1724355574,1725403517,99.95%,1978737746,1979746700,99.93%,1790344029,1791431497,99.94%,1757439441,1758447066,99.93%,2036058447,2037404168,99.93%,2036058447,2037404168,99.95%,2424614927,2425733322,99.94%,2038233063,2039311440,99.94%,1843117343,1844149831,99.97%,2305939523,2306639382,,,,99.95%,2177919392,2178856845,99.94%,2092694708,2093776811,,,,99.94%,1642323029,1643300775,99.93%,1567544485,1568564997,99.95%,1663345414,1664112001,99.94%,1491494582,1492309459,99.87%,252169948,252480880,99.79%,246938719,247455046,99.51%,262528959,263821643,99.76%,1690183721,1694096703,99.75%,1668864235,1672946122,99.73%,1305652510,1309112950,99.8%,963854323,965705157,99.79%,969042013,971072029,99.83%,625120760,626181669,99.86%,678666381,679608536,99.84%,,,99.85%,,,99.9%,,,99.9%,,,,,,,,,,,,,,,,,,,
,,B1,,,99.95%,1467264171,1467976141,99.93%,1284378271,1285303921,99.72%,1473188518,1477382126,99.84%,1465317546,1467670780,99.91%,1406463893,1407666872,99.95%,1630335215,1631227562,99.70%,1603305552,1608189006,99.94%,1227741504,1228527142,99.94%,1282869049,1283580380,99.94%,1465142816,1466068610,99.94%,1435884561,1436744571,99.93%,1263084816,1263980439,99.93%,1330798899,1331681398,99.90%,1435868896,1437278222,99.93%,1161061627,1161779063,99.94%,1273125820,1273888399,99.92%,1496695120,1497881218,99.92%,1496695120,1497881218,99.94%,1822484205,1823412252,99.94%,1511775654,1512628541,99.94%,1768418058,1769313640,99.95%,1481193172,1481920867,,,,78.91%,1036439110,1313348705,83.71%,1266148792,1512383767,,,,82.33%,1027050201,1247361482,77.21%,1199831590,1553896299,84.60%,1202229087,1421048644,84.96%,1195203621,1406727168,84.58%,278999597,329826280,84.19%,277091874,329120165,83.74%,276464019,330125865,87.03%,967038955,1111104845,70.66%,828514374,1172473208,93.03%,1049295241,1127820255,97.22%,752546212,774042131,96.5%,684430761,709213154,93.29%,585851889,627981224,92.07%,512290766,556412326,80.71%,,,80.81%,,,83.86%,,,85.52%,,,,,,,,,,,,,,,,,,,
,,C1,,,99.91%,979570648,980412146,99.90%,859293807,860162651,99.90%,999227159,1000262292,99.95%,914448280,914933813,99.94%,900614444,901170831,99.95%,848562945,849019277,99.93%,785836983,786360479,99.93%,830244090,830803409,99.94%,1014952829,1015518449,99.95%,815841520,816283145,99.91%,885399926,886169569,99.88%,925991317,927120711,99.86%,825478997,826639100,99.93%,809945734,810517908,99.92%,756144397,756689247,99.93%,867762913,868288249,99.94%,796569676,797040294,99.94%,796569676,797040294,99.95%,1205770808,1206358616,99.92%,833911671,834507029,,,,99.92%,1057387560,1058266300,,,,99.92%,742467459,743046374,99.86%,829228255,830383965,,,,99.89%,1079703634,1080850331,99.89%,923558222,924561161,99.88%,990066137,991165021,99.88%,961415728,962477958,99.88%,196619740,196836770,99.88%,188605346,188813291,99.90%,192813085,193002761,99.85%,807444605,808584890,99.83%,1345623337,1347807014,99.81%,1300539041,1302978846,99.87%,1111114883,1112490197,99.83%,1747819593,1750690481,99.79%,766608020,768194831,99.88%,556782619,557428281,99.65%,,,99.76%,,,99.89%,,,99.84%,,,,,,,,,,,,,,,,,,,
,汇总,A1,,,0.9986004900000002,,,0.99870042,,,0.9985005600000001,,,0.9985005600000001,,,0.9986004500000001,,,,,,,,,0.99850036,,,,,,0.99760095,,,0.9971013799999999,,,,,,,,,,,,,,,,,,,,,0.9965029400000001,,,0.9938063700000002,,,0.9966024000000001,,,0.99660225,,,0.9554134,,,0.5342294,,,0.8131887099999999,,,0.9968025500000001,,,0.99780112,,,0.99710208,,,0.9967027,,,0.9931059,,,0.9973017,,,,,,,,,,,,,,,,,,,
,,B1,,,0.99840063,,,0.99850054,,,0.9983007199999999,,,0.9983007199999999,,,0.9986004799999999,,,,,,,,,0.99760095,,,,,,0.7635331599999999,,,0.82052542,,,,,,,,,,,,,,,,,,,,,0.8267458,,,0.8198146,,,0.8468019,,,0.67148198,,,0.84982905,,,0.5949863999999999,,,0.7044499999999999,,,0.7982825299999999,,,0.8106763499999999,,,0.78151493,,,0.7954936400000001,,,0.82761434,,,0.84374032,,,,,,,,,,,,,,,,,,,
,,C1,,,0.9983007199999999,,,0.9985005600000001,,,0.98780696,,,0.98780696,,,0.9988003500000001,,,,,,,,,0.9980009599999999,,,,,,0.9983007199999999,,,0.9976014000000002,,,,,,,,,,,,,,,,,,,,,0.9977013199999999,,,0.9978012,,,0.9946058499999999,,,0.99690238,,,0.9745448400000001,,,0.6389682600000001,,,0.97464029,,,0.99630336,,,0.99700216,,,0.96770115,,,0.8796836800000001,,,0.89591341,,,0.9472819199999999,,,,,,,,,,,,,,,,,,,
"NF
移动网",关联率,A1,,,98.98%,1184304878,1196493397,99.02%,1276665233,1289334841,98.98%,1258086405,1271045254,99.02%,1300303369,1313225036,98.98%,1279075315,1292194055,98.90%,1286847481,1301203258,98.91%,1352167136,1367115155,98.91%,1178576132,1191544619,98.97%,1217658532,1230294941,98.99%,1187547042,1199624712,99.00%,1231263644,1243703639,99.03%,1252345177,1264620599,99.02%,1219468987,1231581923,99.00%,1246048997,1258586449,98.43%,1350040816,1371505318,98.39%,1272675372,1293466797,98.49%,1333344805,1353694731,98.49%,1333344805,1353694731,98.74%,304023844,307894159,98.54%,1282380655,1301268275,98.33%,1272749269,1294237954,98.25%,273084265,277922327,98.47%,1235858843,1254968416,98.44%,1277065087,1297189744,98.57%,1266663744,1285025576,98.59%,1346109822,1365321573,98.63%,1284609955,1302385273,98.62%,250454478,253941419,98.59%,1153375902,1169766077,98.52%,232003613,235450280,98.58%,257268789,260969349,96.62%,270676426,274454015,98.56%,280354507,284442149,98.55%,1309107236,1328311556,98.44%,1329451421,1350430491,97.78%,1178065376,1204798673,94%,1013312195,1077936320,95.25%,1069617121,1122881619,98.9%,237064258,239694703,98.67%,1033294233,1047169397,98.61%,,,98.6%,,,98.34%,,,98.49%,,,,,,,,,,,,,,,,,,,
,,B1,,,99.34%,883614576,889515282,99.44%,920361644,925558120,99.40%,865534875,870730613,99.40%,873457388,878760110,99.41%,881229401,886420866,99.42%,889813959,895012916,99.38%,866211230,871588024,99.40%,846596768,851727395,99.39%,853192990,858464866,99.35%,802446999,807673372,99.39%,834115039,839219845,99.39%,834541802,839623582,99.37%,772244710,777142979,99.38%,858900707,864219456,98.97%,1219820624,1232509494,98.91%,1215583082,1228929710,98.89%,1288692522,1303036118,98.89%,1288692522,1303036118,98.96%,1296324485,1309889231,98.99%,1213789969,1226120817,98.96%,1208055713,1220717236,98.71%,231677078,234695926,97.82%,1121816198,1146196705,97.16%,1129068917,1161992651,97.50%,1154016057,1183560158,97.83%,1140299089,1165489313,97.51%,1146660675,1175896257,96.98%,365368730,376721086,97.64%,1098728815,1125223273,97.35%,345975797,355372226,97.42%,368606110,378360655,97.47%,373920907,383612806,97.42%,390322903,400632096,91.51%,1133272672,1238327037,97.38%,1152020791,1182942989,96.24%,921090411,957063840,93.07%,611919662,657466572,93.09%,653465169,701902574,91.23%,46689101,51172127,96.09%,756907608,787673097,97.97%,,,97.18%,,,97.8%,,,97.73%,,,,,,,,,,,,,,,,,,,
,,C1,,,99.96%,1091618592,1092090166,99.96%,1117938780,1118368989,99.96%,1126843315,1127294233,99.96%,1174436560,1174880917,99.87%,1149233874,1150741164,99.95%,1133402814,1134017940,99.94%,1067218379,1067856601,99.96%,983557551,983946552,,,,99.96%,1095571919,1095999343,99.96%,1129547958,1129959640,99.96%,1131818501,1132240301,99.96%,1123294381,1123732298,99.96%,1108263655,1108693617,99.37%,818460836,823616003,99.36%,810002348,815204358,99.32%,796017187,801390250,99.32%,796017187,801390250,99.34%,854890965,860484343,99.36%,856860742,862342656,99.37%,838811216,844067179,99.26%,182995606,184347954,99.34%,823240053,828655358,99.39%,758182146,762781825,99.40%,828041479,832993897,99.41%,822302228,827101074,99.42%,824140016,828930185,99.41%,834192730,839141904,99.41%,815049350,819822611,99.77%,193750021,194186414,99.73%,207857350,208413799,99.74%,203400099,203921127,99.71%,207936951,208534727,99.39%,816812421,821820658,99.13%,850154999,857539728,95.58%,831537876,843474583,96.02%,822678913,856706456,98.24%,987286203,1004871462,99.68%,371476400,372654716,99.46%,1014007894,1019499935,99.36%,,,99.36%,,,99.43%,,,99.42%,,,,,,,,,,,,,,,,,,,
